action_id,actuator_handle,application_success,applied_value,approved_value,observed_setpoint_after_application,requested_value,reset_performed,simulation_timestamp,source_type,validation_id,verified
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:15:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:02:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:04:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:06:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:09:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:11:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:13:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:15:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:30:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:20:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:25:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:30:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
action-7f4f4c755a2f40ee9e14c2a463e31a85,416,True,23.0,23.0,23.0,23.0,False,2013-01-01T09:45:00Z,manual,validation-3d112a55c3b5408db4dfd17b25e1008c,True
